SNo,Project Name,Scheme Name,PI Details
1,Time-resolved optical spectroscopy and device applications:Localized metallic state of ZnO and graphene based van der waals' heterostructure,SERB,Dr Sesha P Vempati
2,"Formulation, Solution development and promotion of building physics related problems",Greentech knowledge solutions Pvt Ltd,Dr Udayraj
3,A secure design for test and debug architecture for system on chips (SoCs),RIG,Dr Sk Subidh Ali
4,Collective behavior in artificial active matter system,RIG,Dr Dhruv Pratap Singh
5,Development of a data acquisition and processing system for artificial insemination prediction in remotely located dairy farm cows,Agverse Technologies Pvt Ltd,Dr Arzad Alam Kherani
6,Glucose-responsive DNA capsule for insulin delivery,DBT,Dr Suchetan Pal
7,Development of a robust finite element modelling for prediction of spring back in case of components from trailor welded blanks,RIG,Dr Kaushik Bandyopadhyay
8,Deep learning based Real Time Hardware in Loop simulation for islanding Detection and Protection in Microgrid,MeiTY,Dr Prashant Agnihotri
9,"Betweeness centrality: computation, estimation and ordering",RIG,"Dr Rishi Ranjan, Dr Barun Gorain, Dr Amit Dhar"
10,Development of computational protocol and derivation of necessary equations for studying dipole alignment effect on non-linear optical processes in different type of large molecules,RIG,Dr Mehboob Alam
11,Building Trust on computing platform and training of secure coding of security chips,MeiTY,Dr Dhiman Saha
12,Multi-cluster models for epidemic spread and evaluation based on data-driven paramerization,SERB,"Dr Arzad Alam Kherani, Dr D Manjunath, Dr Rishi Ranjan Singh"
13,Identifying optimal immunization strategies in indian context against COVID-19,SERB,"Dr Rishi Ranjan Singh, Dr Arzad Alam Kherani, Dr Amit Kumar Dhar"
14,Development of a wifi-based stream enabling device for HDMI-enabled Television set,Arham Technology,Dr Arzad Alam Kherani
15,Authentication of Digitally Scanned Documents and Images using Watermarking Technique,DST,Dr Archana Tiwari
16,Technology Innovation Hub,DST,Prof Rajat Moona
17,Near net-shape forming of tailor welded blanks to develop cost effective lightweight auto-body parts for industry,SERB,Dr Kaushik Bandyopadhyay
18,Total Synthesis of Calyciphylline A-type alkaloids : A Scaffold Diversity Approach,SERB,Dr Ganapathy D
19,On parameterized Complexity of Combinatoral Games on Graphs,SERB,Dr Vinod Kumar Reddy
20,Light -Driven micromotors for rapid detection of very low concentration bacteria and microplastic pollulants in water using SERS,SERB,Dr Dhruv Pratap Singh
21,Light driven micromotors for rapid detection of very low concentration bacteria and microplastic pollutants in water using SERS,Matching Grant,Dr Dhruv Pratap Singh
22,Spectral Set and Complete Spectral Set for Domain in Cᴧ2 and q-Commuting Isometries,SERB,Dr Avijit Pal
23,Flow Dynamics and Size based particle sorting in an evaporating sessile droplet containing Bi- and Tri- dispersed Colloidal Particles,SERB,Dr Nagesh Devidas Patil
24,Flow dynamics and size based particle sorting in an evaporating sessile droplet containing Bi and Tri-dispersed colloidal particles,Matching Grant,Dr Nagesh Devidas Patil
25,Real-time estimation of Core Body Temperature based on Non-invasive measurements: Towards Development of a Reliable and Low-Cost Device for Heat Stroke Prevention and Healthcare monitoring,SERB,Dr Udayraj
26,Microscale transport behavior of dynamic three phase interfaces,RIG,Dr Balkrishna Mehta
27,Nature of galaxies that reionized the universe,RIG,Dr Mahavir Sharma
28,Setting-up computational chemistry lab for scientific research,RIG,Dr Rukmankesh
29,Design synthesis and applications of novel aromatic metallacycles: an excited state transition metal photocatalysis in organic synthesis,RIG,Dr Ganapathy D
30,"Sectoral data collection for 3 NA cities in Chhattisgarh, namely - Bhilai, Korba and Raipur",CSTEP,Dr Pravesh Chandra Shukla
31,A Halide pervoskite based photoande for oxygen evolution reaction using a molecular diode in a hybrid naonmeter scale protection layer,DST,Dr Satyajit Gupta
32,NATGRID,MHA,Prof Santosh Biswas
33,Design and development of a multi purpose test instrument for analyzing performance of thermal protective clothing and determining second-degree burn time for skin at different orientations,DST,Dr Udayraj
34,Al-on-Edge: Al-based edge analytics framework for real time disaster management,MeiTY,Dr Soumajit Pramanik
35,Light weight analysis and trouble shooting of voice and video quality in telecom networks,RADCOM Ltd,Dr Gagan Raj Gupta
36,Clusters and Networks of World Literature,RIG,Dr Thirthankar Chakraborty
37,Open experimentation and prototyping platform at IIT Bhilai for research in mobile and wireless network,RIG,Dr Anand Baswade
38,The evaporation of pure liquid droplets and droplets containing monodispersed colloidal particles on non heated and heated hydrophobic - super-hydrophobic substrates,RIG,Dr Nagesh Devidas Patil
39,Parameterized complexity,SERB,Dr Vinod Kumar Reddy
40,VRITIKA- Evolutionary variational inequalties and its applications to Nash equilibrium problems,SERB,Dr Asrifa Sultana
41,Orientation mechanism of low band gap uniaxially-oriented polymer semiconductor and its carrier transport characteristics,DST,Prof Rajiv Prakash
42,Setting up EDGELAB for research on computer vision and distributed systems,RIG,Dr Subhajit Sidhanta
43,Development of system on a chip (SoC) CMOS image sensors design and characterization lab,RIG,Dr Kapil Jainwal
44,Design and fabrication of fractor: The new circuit element,RIG,Dr Avishek Adhikari
45,Development of cutting tools with novel surface texture for high performance and environmental friendly machining applications,DST,Dr Soumya Gangopadhyay
