SNo,Project Name,Scheme Name,PI Details
1,Towards the development of low-cost water quality sensors,Panasonic R&D Center of India,Rakesh Sharma
2,Wisdom as Cognitive and motivational-emotional heuristics in ecologically rational decision making,DST,Ankita Sharma
3,Magnetars with superfluid core,SERB,Monika Sinha
4,Development of Highly Efficient Low Cost Insulation for power plants,MHRD,Sudipto Mukhopadhyay
5,Young Faculty Research Fellowship (YFRF) of Visvesvaraya PhD Scheme,MeitY,Shree Prakash Tiwari
6,Helicopter Dynamics and Handling Quality,ASTE Bangalore,C.Venkatesan
7,Indian Heritage in Digital Space of Interdisciplinary cyber physical Systems,DST,Santanu Chaudhury
8,Unnat Bhart Abhiyan (RCI),IIT Delhi,Vivek Vijay
9,Generation of Entangled Photons and its application to Quantum Computation and Information Processing,DST,V. Narayanan
10,Design and Development of Metal Oxide Hole Transporting Material (HTM) based Inverted Perovskite Solar Cell (iPSC) Under Ambient Conditions,DST-Inspire (Phd Student),Phd Student-Abhijeet Kale Mentor-Ambesh Dixit
11,Design and Fabrication of Indigenous Powder Fed Metal Additive Manufacturing Machine,DST,Ravi K R
12,Sulphur nanoparticles Reinforced Hieratchical Assemblies of Carbon nanotubes for Efficient Lithium-Sulphur Batteries,DST,Shahab Ahmad
13,Predictive Maintenance and Quality Control in industries under Industry 4.0,SERB,Sumit Kalra
14,Development of low cost sensors for monitoring of odours in ambient air,Envirotech Instruments Pvt. Ltd.,Mahesh Kumar
15,Understanding Semantic Association Between Visual and Textual Data: What lies ahead,DST-Inspire Faculty,Yashashwi Verma
16,"Development of Light-weight and Flexible Multi-link Robotic Manipulator Mounted on Mobile Platform: Modelling, Simulation and Physical Realization",SERB,Barun Pratiher
17,Mitigation of weldability issues and residual stresses in dissimilar welded joints of ultra-supercritical power plants,SERB,Chandan Pandey
18,Utilization of hydrogen as fuel in cement production,Ultratech Cement,Rakesh Sharma
19,Eigenvalue type problems related to linear and quasi-linear operators,DST,Abhishek Sarkar
20,Genomelndia: Cataloguing the genetic Variation in Indians,DBT,Pankaj Yadav
21,Design and Development of Substrate Integrated Waveguide (SIW) and Empty SIW (ESIW) Based RF-Microwave Components,SERB,Arani Ali Khan
22,Elucidating the role of centrosome protein CEP152 in primary microcephaly,DBT,Priyanka Singh
23,Development of System to Mitigate Second Order Harmonic Ripple in AC/DCMicrogrid using Advanced Control Techniques,SERB-CRG,Deepak Fulwani
24,Multimodal Approach for Repairing of Brain Damage: Small Molecule Mediated Neurogenesis from Stem Cells and Transplantation of Regenerated Neurons through Novel Scaffolds,SERB,Surajit Ghosh
25,Detection and Prevention of Forged Obscene Images/Videos in the Social Networks using Machine Learning (A Social Media Engine for Discovering Doctoring in Obscene Multimedia),MHA,Mayank Vatsa
26,Development of An AI platform for Human Health,MEity,Santanu Chaudhury
27,Shock Wave Interation with Various Interfaces,DST-Inspire Faculty,Arun Kumar R
28,On Graph Induced Symbolic Dynamics,DST SERB,Puneet Sharma
29,ICSSP Conference,ICSSP,Ravi K R
30,Online Education,Institute Online Executive Programme,Anand Mishra
31,Synthesis and characterization of ferrite materials with high anisotropic properties for permanent magnet application,IIT Jodhpur,Durgamadhab Mishra
32,Multimodal Approaches to Develop Potential  Therapeutic Leads Targeting Molecular Hot Spots of Duchenne Muscular Dystrophy for Clinical Trial  (DMD Centre),SERB,Surajit Ghosh
33,Resource Constrained AI.,Meity,Deepak Mishra
34,SME Development Fund,Verious earning sources of the school of managemnet,HoD SME
35,Swaranajayanti Fellowship:Mitigating,DST-Swaranajayanti Fellowship,Mayank Vatsa
36,Biomimetic Nanoscale Metal Organic Frameworks for Targeted Near Infrared Fluorescence Imaging and Phototherapeutic Destruction of Intraperitioneal,DBT-Ramalingaswami Fellowship,Raviraj Vankayala
37,Cross Flows Flapping Jets for Supersonic Mixing Enhancement,ARDB,Arun Kumar R
38,Experimental Investigation and Performance Evaluation of Visible Light Communication Systems,IIT Jodhpur,Aashish Mathur
39,Modeling of Laser Ignition of Coal,GE India Industrial Pvt. Ltd,Sudipto Mukhopadhyay
40,Jodhpur City Knowledge and Innovation Cluster,Office of PSA,Santanu Chaudhury
41,Understanding The Molecular Specific Scales of Tumor Suppressor Gene 101 (tsg101) enclosed LRSAM1 E3 Ubiquitin Ligase In The Elimination of Polyglutamine Proteins,BRNS,Amit Mishra
42,FIST Project,DST-FIST Program-2019,Rohan D Erande
43,Mechanical response of sedimentary rocks under extreme conditions:implications for cryogenic fracking,DST-Inspire Faculty,Debanjan Guha Roy
44,Novel in-situ volume contractible metal halide negative electrodes for high performance lithium-ion batteries,SERB-CRG,Srijan Sengupta
45,Owl-inspired aerodynamic noise reduction of a flapping wing unmanned aerial vehicle,SERB,Nipun Arora
46,Input Shaping Control Strategies for Mitigating Residual Vibrations and Viscoelastic Creep in Electrically Driven Dielectric Elastomer Actuators,DST-Inspire Faculty,Atul Kumar Sharma
47,Management Development Programme (MDP),Institute,Venkatesha Murthy R
48,Highly conductive nanocomposite fibers for flexible temperature sensors (Flextem),SERB-SRG,Shrutidhara Sarma
